,Plant Name,Temperature,Humidity,PH,CO2,LIGHT,Light Hours,EC,Soilless Medium,Nutrient Mix,Week
53,Arugula,71.9,82.5,6.8,572.7,4,0.9,1.1,coco coir,NPk and MgSO4,7
54,Arugula,70,84.3,6.2,474.2,3,1.2,0.9,Mix water,CaNO3 and NPK ,7
55,Arugula,57.7,75.3,7.1,414.9,4,1,1.3,Mix water,Nitrogen,2
56,Arugula,55.6,76.9,6.1,586.1,4,1.1,1.2,coco coir,NPk and MgSO4,8
57,Arugula,61.2,76.1,6.5,651.9,4,0.9,1.3,coco coir,CaNO3 and NPK ,3
58,Arugula,70.2,81.9,7.4,493.5,3,1.2,1.3,Mix water,CaNO3 and NPK ,8
59,Arugula,58.1,77.9,6.9,553.8,1,1,1,Mix water,CaNO3 and NPK ,5
60,Arugula,67,87.1,7.4,419.4,2,0.8,1.3,rockwool,calcium and potassium,5
61,Arugula,70.8,83.9,6.7,517.1,4,1.1,1.2,rockwool,NPk and MgSO4,7
62,Arugula,65.8,83.3,7.3,484.8,4,1,1,Mix water,Nitrogen,4
63,Arugula,71,84.6,6.3,518.7,3,0.8,1.1,rockwool,NPK,7
64,Arugula,67.8,88.9,6.7,540.2,3,0.8,0.8,coco coir,NPk and MgSO4,2
65,Arugula,67.1,72,6.4,621.9,1,1.3,0.8,Mix water,NPK,3
66,Arugula,56.6,83.1,7.1,664.9,1,1.1,1.2,Mix water,NPK,8
67,Arugula,69.6,81.7,6.3,547.5,1,1.3,1.3,coco coir,NPK,4
68,Arugula,53.3,76,7,489.8,1,0.9,1.2,coco coir,NPk and MgSO4,1
69,Arugula,63.5,73,6.3,447,1,0.9,1,Mix water,CaNO3 and NPK ,7
70,Arugula,73.7,78.3,6.5,600.3,1,1.3,0.9,coco coir,calcium and potassium,8
71,Arugula,73.6,74.1,6,508.2,3,0.8,0.8,coco coir,NPk and MgSO4,6
72,Arugula,69.3,73.1,7.4,453.8,4,0.9,1,coco coir,calcium and potassium,4
73,Arugula,71.1,78.5,6.9,429.1,2,1.1,0.8,Mix water,Nitrogen,8
74,Arugula,72.6,78.5,6.6,403.4,2,0.9,1.2,Mix water,Nitrogen,5
75,Arugula,63.6,74.9,6.6,549.1,1,1.3,0.9,coco coir,Nitrogen,5
76,Arugula,57.4,74,7.2,569.8,4,1.2,1.1,Mix water,CaNO3 and NPK ,8
77,Arugula,51.2,80.6,7.1,508.1,1,0.8,0.9,coco coir,CaNO3 and NPK ,1
78,Arugula,69.1,89.8,6.2,559.9,3,1.2,1.1,rockwool,calcium and potassium,4
79,Arugula,61,70.4,6.6,693,2,0.8,1,coco coir,CaNO3 and NPK ,3
80,Arugula,53.9,77.7,6,601.8,4,0.8,0.9,coco coir,calcium and potassium,2
81,Arugula,54.3,82.6,6.3,414,2,0.8,1.3,Mix water,Nitrogen,3
82,Arugula,62.5,86.9,7,557.1,2,1,0.9,rockwool,calcium and potassium,2
83,Arugula,64.6,76.2,6.9,614.9,2,1,1.3,coco coir,calcium and potassium,7
84,Arugula,58.2,86.2,6.7,419.6,3,1,1.2,rockwool,NPk and MgSO4,7
85,Arugula,68.5,82.6,6.7,487.3,4,0.8,1.2,Mix water,Nitrogen,2
86,Arugula,71.5,88,6.9,585.1,4,1,0.8,rockwool,Nitrogen,1
87,Arugula,72.1,74.6,6,565.2,2,1,1,coco coir,NPk and MgSO4,4
88,Arugula,57,74.2,6.8,489.5,2,0.8,1.1,Mix water,calcium and potassium,8
89,Arugula,54.2,81.2,6.8,483.2,3,0.9,0.8,coco coir,Nitrogen,1
90,Arugula,62,84.1,6.3,536,2,1.3,0.8,Mix water,NPk and MgSO4,1
91,Arugula,62.1,78.9,6.2,630.4,2,0.9,1.1,rockwool,calcium and potassium,8
92,Arugula,67,74.8,6.7,654.6,4,0.8,1.1,coco coir,CaNO3 and NPK ,1
93,Arugula,73.3,86.7,6.3,500.6,4,0.8,1.1,Mix water,NPK,8
94,Arugula,52.9,79.3,6.1,650,2,1.1,1,rockwool,calcium and potassium,5
95,Arugula,65.9,81.4,7.2,429.1,1,0.9,1.3,rockwool,calcium and potassium,8
96,Arugula,52.7,78.8,6.4,691.6,4,0.8,1.2,Mix water,NPk and MgSO4,7
97,Arugula,53.7,88.4,7,662.9,1,1.3,0.9,coco coir,Nitrogen,6
98,Arugula,53.5,81.7,6.3,576.8,1,1,1,coco coir,calcium and potassium,8
99,Arugula,52.1,87.9,7.4,498.3,3,1,1.1,Mix water,Nitrogen,4
100,Arugula,58.8,82.9,6.4,541.4,4,1.1,1.2,rockwool,Nitrogen,8
101,Arugula,67.5,73.3,6.2,559,2,0.9,1,rockwool,Nitrogen,7
102,Arugula,72.7,86,7,526.6,1,1.3,1.3,coco coir,NPk and MgSO4,1
103,Arugula,50.5,79.6,6.1,571.2,4,1.3,0.9,rockwool,calcium and potassium,1
104,Arugula,60.6,85.2,6.1,467.1,2,1,0.9,rockwool,NPK,3
105,Arugula,55.2,88.6,7.1,475.9,4,1.2,1.1,Mix water,CaNO3 and NPK ,5
106,Arugula,71.7,72,6.9,435.2,2,1.3,0.9,coco coir,calcium and potassium,7
107,Arugula,58.1,82.8,6.9,488.7,2,0.8,0.8,rockwool,Nitrogen,3
108,Arugula,72.4,78.6,6.4,665.6,3,0.8,0.9,rockwool,calcium and potassium,3
109,Arugula,55.5,89,6.7,649,1,1.3,1,Mix water,Nitrogen,7
110,Arugula,73.2,86.3,7.3,650.7,3,0.9,1,coco coir,Nitrogen,4
111,Arugula,68.8,71.6,7.1,413.7,3,1.2,1.3,coco coir,NPk and MgSO4,3
112,Arugula,66.8,80.5,7.4,677.4,3,1,1,coco coir,Nitrogen,6
113,Arugula,64.1,75.6,7.3,503.5,3,1.1,1.2,coco coir,calcium and potassium,5
114,Arugula,72.7,74.7,6.5,624.7,1,0.8,1.2,coco coir,NPk and MgSO4,5
115,Arugula,55.1,73,7,670.1,3,1,1.3,Mix water,NPk and MgSO4,4
116,Arugula,50.3,81,7.3,422.5,2,0.9,1.1,rockwool,calcium and potassium,3
117,Arugula,62.3,70.4,6.2,503.9,1,1.1,1.2,Mix water,NPK,1
118,Arugula,54.3,81.5,7.2,486,3,0.8,0.9,rockwool,CaNO3 and NPK ,1
119,Arugula,51.6,75,6.5,587,3,0.9,0.9,Mix water,NPK,2
120,Arugula,64.9,79.2,6.1,657.7,1,1.2,1.2,Mix water,NPk and MgSO4,8
121,Arugula,53.3,74.6,7.4,492.7,3,0.8,0.9,Mix water,NPk and MgSO4,4
122,Arugula,60,83,6.2,485,2,1,1,coco coir,NPK,5
123,Arugula,56.3,74.8,6.6,420.5,4,1.1,1,Mix water,NPK,7
124,Arugula,50.8,79.3,6.1,440.1,1,1.1,1.1,Mix water,NPK,6
125,Arugula,72.1,73.8,6.6,618.5,2,1.2,1.2,rockwool,CaNO3 and NPK ,5
126,Arugula,69.2,83,6.5,488.9,4,1.1,1.2,rockwool,NPk and MgSO4,6
127,Arugula,57.8,73,6.1,663.5,4,0.8,1,coco coir,CaNO3 and NPK ,3
128,Arugula,56.5,87.9,7,658.6,3,1,1.1,Mix water,Nitrogen,7
129,Arugula,56.3,86.1,6.8,588.8,4,0.9,1.3,coco coir,NPK,8
130,Arugula,55.5,80.4,6.4,509.1,3,1.1,0.8,rockwool,calcium and potassium,7
131,Arugula,55.8,72.6,6.3,695.4,2,1.3,1,rockwool,NPk and MgSO4,6
132,Arugula,63.1,85,6.7,598.3,4,1.3,0.9,coco coir,calcium and potassium,3
133,Arugula,73.6,79.4,7.3,441.2,3,0.8,1,coco coir,NPK,5
134,Arugula,51.5,79.4,7.1,620,3,1.1,1.3,coco coir,calcium and potassium,8
135,Arugula,60.6,81.9,6.6,699.9,2,1.3,1.1,Mix water,NPK,4
136,Arugula,60.3,79.6,7.2,459.8,1,0.8,0.9,Mix water,Nitrogen,5
137,Arugula,71.8,70.1,7.2,408.4,3,1,1,coco coir,calcium and potassium,1
138,Arugula,62.6,81,7.1,556.6,4,0.9,1.2,coco coir,calcium and potassium,5
139,Arugula,61.6,88.2,6.1,602.6,4,1.3,1.3,coco coir,Nitrogen,5
140,Arugula,71.7,84.1,7.2,415.9,2,1,1.2,coco coir,NPK,4
141,Arugula,71.4,78.3,6.1,553.6,4,1.2,1,Mix water,Nitrogen,7
142,Arugula,68.4,72.7,7.4,682.1,4,1,1.2,Mix water,NPk and MgSO4,3
143,Arugula,62,86.8,7.2,627.8,4,1,0.9,Mix water,CaNO3 and NPK ,7
144,Arugula,66,79.7,6.8,641.8,1,1,1,coco coir,CaNO3 and NPK ,6
145,Arugula,59.4,88.1,7.4,633.1,1,1,1.2,coco coir,NPk and MgSO4,5
146,Arugula,72.7,86.9,6.2,686.6,4,1,1,Mix water,NPK,3
147,Arugula,54,77.6,7,531.7,1,1,1.1,Mix water,CaNO3 and NPK ,1
148,Arugula,50.9,81.8,6.6,608.8,4,0.8,0.8,rockwool,calcium and potassium,3
149,Arugula,53.8,75.2,6.5,633,3,1.2,1.3,coco coir,Nitrogen,4
150,Arugula,69.6,84.4,6.2,493.9,4,1.1,1.2,Mix water,NPK,2
151,Arugula,61.4,83.7,6.7,683.9,2,1,1.1,rockwool,NPk and MgSO4,6
152,Arugula,64,76.4,6.8,638,2,1.3,1.3,rockwool,NPk and MgSO4,3
153,Arugula,70.7,81.5,6.9,492.4,4,1,1.3,Mix water,Nitrogen,7
154,Arugula,71,83.6,7.2,662,2,1.1,0.9,Mix water,Nitrogen,2
155,Arugula,51,71.1,6.3,405.5,2,1.1,0.8,rockwool,CaNO3 and NPK ,8
156,Arugula,56.8,74.1,7.3,507.6,3,1.1,1.3,coco coir,CaNO3 and NPK ,7
157,Arugula,69.1,70.4,6,575.5,2,0.8,1,coco coir,Nitrogen,7
158,Arugula,72.7,76.2,6.7,560.5,2,0.8,1,coco coir,CaNO3 and NPK ,4
159,Arugula,69,85.4,7.2,488.5,1,1.3,1.3,coco coir,NPk and MgSO4,5
160,Arugula,66.8,87.1,7.4,576.3,1,1.1,1,rockwool,NPk and MgSO4,2
161,Arugula,51.1,75.4,6.8,544,2,1,0.9,coco coir,calcium and potassium,5
162,Arugula,72,84.7,6.4,662.6,3,1.1,0.9,rockwool,Nitrogen,7
163,Arugula,60.8,78.7,6.7,575.9,4,1,1.1,Mix water,NPK,2
164,Arugula,62.4,86.8,7.2,609.9,1,1,0.8,Mix water,Nitrogen,6
165,Arugula,60,80.1,6.6,644.4,1,0.9,1.3,rockwool,Nitrogen,1
166,Arugula,73.8,74.7,7,484.2,2,0.8,0.8,rockwool,CaNO3 and NPK ,7
167,Arugula,51.5,80.7,6.7,609.6,3,0.8,1.3,Mix water,CaNO3 and NPK ,8
168,Arugula,69.7,77,6.9,592.7,1,1.1,1.3,rockwool,NPK,2
169,Arugula,58.5,83.4,6.1,504.1,1,1,1.1,coco coir,CaNO3 and NPK ,5
170,Arugula,58.1,84.3,7.2,521.9,1,1.1,1,Mix water,NPK,6
171,Arugula,51.5,87.2,6.8,415,3,1,1,rockwool,NPk and MgSO4,1
172,Arugula,67.3,86,7,644.1,2,0.9,1.1,rockwool,calcium and potassium,5
173,Arugula,53.7,75.4,6.6,415.7,1,0.9,0.9,coco coir,Nitrogen,8
174,Arugula,53.8,80.5,6.7,423.6,4,1.2,0.8,coco coir,calcium and potassium,7
175,Arugula,70.1,78.8,7,685.9,1,1.1,1,Mix water,CaNO3 and NPK ,8
176,Arugula,61.2,88.2,6.1,552.9,1,0.9,0.8,rockwool,NPk and MgSO4,1
177,Arugula,66.2,73.9,7.4,645.7,4,0.8,1.1,coco coir,NPk and MgSO4,8
178,Arugula,61.1,87,6.7,669.6,1,1,0.9,coco coir,NPK,8
179,Arugula,62.8,78.2,6.3,526.4,2,0.9,1.2,rockwool,NPK,6
180,Arugula,73.1,74.9,6.3,411.8,2,1.3,1.2,coco coir,CaNO3 and NPK ,6
181,Arugula,70.9,86.1,7.1,680.5,4,0.8,1,Mix water,CaNO3 and NPK ,5
182,Arugula,60.8,88.4,6.9,537.1,1,1.1,0.9,rockwool,NPK,2
183,Arugula,62.9,74.4,7.1,559.9,4,1,0.8,Mix water,NPK,6
184,Arugula,68.7,80.2,7.4,651.4,3,1,0.9,rockwool,NPK,4
185,Arugula,58.4,88.8,6.3,699.6,3,0.8,1.1,rockwool,NPK,5
186,Arugula,51.4,80.6,6.6,569.5,3,0.9,1.3,coco coir,CaNO3 and NPK ,4
187,Arugula,67.6,78.7,6.4,437.6,4,1.3,1.2,coco coir,Nitrogen,5
188,Arugula,55.4,74.1,6.2,508.3,4,1.2,0.9,Mix water,calcium and potassium,2
189,Arugula,69,73.8,7,444.3,3,0.9,0.9,Mix water,NPk and MgSO4,7
190,Arugula,54.2,86.6,6,448.4,2,1,0.8,Mix water,Nitrogen,7
191,Arugula,59.8,78.2,7.4,547.2,2,0.9,1.3,Mix water,Nitrogen,8
192,Arugula,53.3,73.2,7.4,676.2,1,1.1,1,rockwool,CaNO3 and NPK ,7
193,Arugula,62.4,84.5,6.5,454.9,3,1.1,0.9,coco coir,NPK,6
194,Arugula,68.8,81,6.3,485.9,3,0.8,1,coco coir,Nitrogen,1
195,Arugula,64.9,88.2,6.7,474.5,3,0.8,0.9,coco coir,CaNO3 and NPK ,3
196,Arugula,64.6,87.6,6.5,461.2,3,0.9,1.2,coco coir,Nitrogen,6
197,Arugula,57.3,81.9,6.5,403.2,2,1.3,1.2,coco coir,NPk and MgSO4,3
198,Arugula,53.1,75.4,6.7,582.6,2,1.1,1.1,coco coir,NPK,7
199,Arugula,73.3,89.6,7.1,503.7,3,0.8,0.9,rockwool,calcium and potassium,5
200,Arugula,68.6,86.5,6.5,670.4,1,1.3,1.1,rockwool,calcium and potassium,4
201,Arugula,58.7,72.4,6.9,677.4,4,1.1,0.9,Mix water,calcium and potassium,2
202,Arugula,56.9,78.6,6.1,439,2,1.1,1.1,rockwool,NPK,3
203,Arugula,70.5,82.2,7,481.4,3,0.9,1.2,Mix water,Nitrogen,7
204,Arugula,67.7,72.2,6.6,441.8,3,1.2,0.9,rockwool,NPk and MgSO4,6
205,Arugula,65.6,78.7,6.9,406.2,2,0.9,0.8,coco coir,NPK,8
206,Arugula,51.3,87.5,6.8,596.1,4,1.3,1.1,rockwool,NPk and MgSO4,6
207,Arugula,64.2,72.3,6.2,427.8,1,0.9,0.8,Mix water,NPk and MgSO4,4
208,Arugula,54.5,83.8,6.4,542.2,4,1.3,0.8,coco coir,NPK,3
209,Arugula,73.7,83.3,6.6,623.1,3,1.3,0.9,rockwool,NPk and MgSO4,7
210,Arugula,55.5,80.3,6.4,404.8,2,0.8,1.2,Mix water,NPK,4
211,Arugula,52.8,75,6.5,535.6,4,1.1,0.9,coco coir,calcium and potassium,3
212,Arugula,54.8,81.7,6.3,408.7,4,0.8,1.2,rockwool,Nitrogen,1
213,Arugula,69.8,87.1,6.6,498.8,1,0.9,0.8,rockwool,NPk and MgSO4,8
214,Arugula,63.9,86.9,7.2,428.8,4,1.1,0.8,coco coir,calcium and potassium,8
215,Arugula,65.8,73.6,6.7,422.5,2,1.1,1,rockwool,NPK,7
216,Arugula,55.2,88.2,7.2,512,3,1,1.3,coco coir,NPk and MgSO4,7
217,Arugula,61.3,86.6,6.4,573.5,1,1.1,1.3,coco coir,NPK,4
218,Arugula,63.7,75.3,7.3,551.8,1,1.2,1,rockwool,calcium and potassium,2
219,Arugula,73.7,74.1,7.1,642.9,4,1,0.8,coco coir,NPk and MgSO4,1
220,Arugula,68.7,81.1,7.4,651.1,3,1.1,1,Mix water,NPk and MgSO4,1
221,Arugula,55.7,74.8,7.2,598.4,4,1.3,0.8,rockwool,calcium and potassium,7
222,Arugula,72.7,77.5,6,480.6,2,1.2,1.1,rockwool,CaNO3 and NPK ,1
223,Arugula,65.6,86,7.1,451.2,4,1.1,1.3,coco coir,Nitrogen,7
224,Arugula,54.6,81.4,6.4,425,4,1.2,1,Mix water,calcium and potassium,5
225,Arugula,65.4,77,6.8,401.5,1,1.1,1.2,coco coir,NPk and MgSO4,4
226,Arugula,71.6,89.5,6,483.8,3,1,1,coco coir,NPk and MgSO4,8
227,Arugula,70.7,79,6.1,421.8,1,0.9,1.2,Mix water,NPK,2
228,Arugula,70.2,85.7,6.8,600.5,2,0.9,1,coco coir,NPk and MgSO4,5
229,Arugula,58.2,73.7,7.3,698.5,1,1.3,1,rockwool,NPK,3
230,Arugula,68.1,77.2,7.4,598,4,1.2,0.8,coco coir,calcium and potassium,1
231,Arugula,62.7,78.7,6.1,638.3,1,1,1,Mix water,Nitrogen,6
232,Arugula,63.7,75.8,6.3,635.1,2,0.9,1.2,rockwool,NPk and MgSO4,3
233,Arugula,68.3,88.1,6.9,450.3,1,1,1.2,rockwool,NPk and MgSO4,4
234,Arugula,50.6,72.2,7.1,412.4,4,1.3,0.9,rockwool,NPK,6
235,Arugula,52.7,82.7,7.1,484.5,2,0.9,1.2,coco coir,NPk and MgSO4,7
236,Arugula,73.9,75.9,6.5,437.7,2,0.9,1,rockwool,NPK,5
237,Arugula,59.4,79.1,7,473.9,1,1.3,1.3,coco coir,CaNO3 and NPK ,6
238,Arugula,61.3,70.6,6.4,621.9,3,1.1,1.3,rockwool,Nitrogen,8
239,Arugula,72.1,75.2,6.8,646.7,4,0.8,1.3,coco coir,NPk and MgSO4,5
240,Arugula,73.3,87.9,6.5,502.3,2,0.9,0.9,rockwool,CaNO3 and NPK ,5
241,Arugula,73.1,89.1,6.2,669,3,1.3,1.2,Mix water,CaNO3 and NPK ,6
242,Arugula,57.3,87.4,6.8,544.3,1,1.2,1.3,coco coir,calcium and potassium,3
243,Arugula,60.8,71.1,6.8,474.5,1,1.3,1.3,coco coir,Nitrogen,3
244,Arugula,59,74.1,6.2,687.6,3,0.8,1.2,rockwool,NPk and MgSO4,5
245,Arugula,60,80.5,6.9,636.9,3,1.2,1.3,Mix water,NPk and MgSO4,5
246,Arugula,57.8,71.7,6.5,480.2,4,0.8,0.8,Mix water,NPk and MgSO4,6
247,Arugula,56.4,86.3,6.4,693.2,2,0.9,1,coco coir,Nitrogen,6
248,Arugula,71.6,81.7,6.8,605.5,4,1,0.9,Mix water,NPK,5
249,Arugula,56.6,71.8,6.6,518.7,4,1.3,1,rockwool,NPK,4
250,Arugula,50.1,88.6,7.1,500.9,4,1.2,1.2,coco coir,calcium and potassium,8
251,Arugula,73.6,86.6,6.3,639.4,4,1,1.1,rockwool,NPK,2
252,Arugula,62.1,81.1,7,520.1,3,1,1.1,rockwool,NPK,3
253,Arugula,69.2,85.9,6.4,526.8,4,1.3,1,coco coir,calcium and potassium,2
254,Arugula,64.9,77.6,6,501.1,3,1.3,1.3,rockwool,CaNO3 and NPK ,5
255,Arugula,66.6,73.6,6.1,449.1,3,0.9,0.9,rockwool,calcium and potassium,5
256,Arugula,56.4,84.8,7,473.3,3,1.1,1.1,rockwool,NPK,5
257,Arugula,67.2,71.2,7.3,675.3,4,1.1,1,rockwool,NPk and MgSO4,8
258,Arugula,60.5,89.5,7.1,585.1,4,1.3,0.9,coco coir,CaNO3 and NPK ,6
259,Arugula,54.2,80.6,7,555.2,3,1.3,1.3,rockwool,CaNO3 and NPK ,1
260,Arugula,58.8,89.1,6.8,495.3,2,0.9,1.2,coco coir,NPK,8
261,Arugula,67,84.5,6.4,619.6,1,1,1.1,rockwool,calcium and potassium,3
262,Arugula,64.2,84.7,6.8,508.1,3,1.3,1.2,coco coir,CaNO3 and NPK ,7
263,Arugula,61.1,81.8,6.5,492.6,4,0.8,1.3,rockwool,Nitrogen,2
264,Arugula,51.5,86.1,6.8,627.1,4,0.8,1,rockwool,CaNO3 and NPK ,1
265,Arugula,61.8,84.3,7.3,681.2,1,1.1,0.9,coco coir,NPK,5
266,Arugula,59,84.7,6.9,505.1,3,1,1.2,Mix water,NPK,1
267,Arugula,63.7,77.2,7.4,529,3,1.3,1.3,coco coir,Nitrogen,2
268,Arugula,52.2,75.7,7.4,429.4,2,1.2,1.3,coco coir,CaNO3 and NPK ,8
269,Arugula,70.4,75.4,7.2,676.8,2,1.1,0.8,coco coir,CaNO3 and NPK ,2
270,Arugula,61.4,86.6,6.4,545.2,3,0.8,1.2,Mix water,NPk and MgSO4,5
271,Arugula,61.1,70.9,7.4,587.6,1,0.8,0.8,coco coir,NPK,5
272,Arugula,59.5,77,6.3,401.8,2,1,1.1,coco coir,NPk and MgSO4,8
273,Arugula,67.9,71.2,7.1,496.9,4,1.1,1.2,coco coir,Nitrogen,8
274,Arugula,57.5,82.6,6.2,594.1,1,0.9,1.2,coco coir,Nitrogen,1
275,Arugula,62,82.6,6.3,465.4,4,0.8,1.2,coco coir,NPK,8
276,Arugula,72.6,79.9,7.1,585.2,1,1,1.1,Mix water,CaNO3 and NPK ,1
277,Arugula,70.9,77.3,7,612.4,3,1.1,1.2,Mix water,Nitrogen,2
278,Arugula,54.5,70.3,6.1,669.6,2,1.3,1.1,Mix water,CaNO3 and NPK ,8
279,Arugula,50.6,80.1,7.2,468.3,1,1,1.1,Mix water,CaNO3 and NPK ,5
280,Arugula,53.1,82.1,7.4,418.7,2,0.9,0.8,coco coir,calcium and potassium,2
281,Arugula,55.3,89.7,6.6,460,1,1.2,0.9,Mix water,calcium and potassium,2
282,Arugula,51.7,71.6,6.5,488.1,2,1.3,0.8,coco coir,NPk and MgSO4,8
283,Arugula,52.1,89.8,6.2,577.9,2,1.3,1,rockwool,CaNO3 and NPK ,5
284,Arugula,65.6,76.1,6.2,682.2,3,1,0.9,rockwool,Nitrogen,7
285,Arugula,72.4,86.5,7.4,526,4,1.1,1.3,rockwool,NPK,5
286,Arugula,70.6,79.4,7.1,474.3,3,0.9,0.8,rockwool,CaNO3 and NPK ,6
287,Arugula,59.2,73.5,7.2,681.1,4,1.2,1.1,coco coir,CaNO3 and NPK ,5
288,Arugula,66.3,71.6,7.1,545.2,3,1.1,1.2,rockwool,CaNO3 and NPK ,7
289,Arugula,71.5,71.6,6.8,423.1,3,1.1,0.9,coco coir,NPk and MgSO4,7
290,Arugula,57.5,72.5,6.9,556.6,3,0.8,0.9,rockwool,NPk and MgSO4,4
291,Arugula,61.8,79.8,6,475.7,4,0.8,1.1,coco coir,CaNO3 and NPK ,8
292,Arugula,73.4,70.3,7.2,664.2,4,0.8,0.9,Mix water,calcium and potassium,3
293,Arugula,67.2,71.2,7.3,466.9,4,1.3,1,rockwool,CaNO3 and NPK ,3
294,Arugula,64,82.8,6.2,638.2,1,1.2,1.3,coco coir,calcium and potassium,6
295,Arugula,51.3,87.9,6.2,537.3,3,1.2,0.8,rockwool,NPk and MgSO4,7
296,Arugula,59.7,86.2,7.4,649.9,3,1,1,coco coir,calcium and potassium,5
297,Arugula,55.8,75.6,6,695.3,4,1.1,1,coco coir,NPk and MgSO4,6
